Register Başlangıç;Register Uznluk;Parametre;Birim;Scale;Veri Tipi;Açıklama (Türkçe);Paket
10525.0;2.0;16. KADEME GÜCÜ;VAr;1.0;float;16. kademe gücü;RG20C
10544.0;2.0;17. KADEME GÜCÜ;VAr;1.0;float;17. kademe gücü;RG20C
10563.0;2.0;18. KADEME GÜCÜ;VAr;1.0;float;18. kademe gücü;RG20C
10582.0;2.0;19. KADEME GÜCÜ;VAr;1.0;float;19. kademe gücü;RG20C
10601.0;2.0;20. KADEME GÜCÜ;VAr;1.0;float;20. kademe gücü;RG20C
10620.0;2.0;21. KADEME GÜCÜ;VAr;1.0;float;21. kademe gücü;RG20C
10639.0;2.0;22. KADEME GÜCÜ;VAr;1.0;float;22. kademe gücü;RG20C
10658.0;2.0;23. KADEME GÜCÜ;VAr;1.0;float;23. kademe gücü;RG20C
10677.0;2.0;24. KADEME GÜCÜ;VAr;1.0;float;24. kademe gücü;RG20C
60416.0;1.0;Device ID;;1.0;ushort;Cihaz Kimliği;RG20C
60418.0;2.0;Serial Number;;1.0;uint;Seri Numarası;RG20C
